gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
TIPARP,0.0,0.0,0.113,280.0,0.99991
ZBTB4,0.0,0.0,0.113,281.0,0.99991
ISY1,0.0,0.0,0.114,282.0,0.9999
HNRNPU,0.023985,0.008,0.114,283.0,1.0
TLK2,0.036368,0.014,0.114,284.0,1.0
TRERF1,0.036207,0.014,0.114,285.0,1.0
DHX30,0.036387,0.014,0.115,286.0,1.0
MYCBP2,0.077305,0.052,0.115,287.0,1.0
FUBP1,0.024336,0.008,0.115,288.0,1.0
TRIM24,0.036616,0.014,0.115,289.0,1.0
ZC3H7A,0.036397,0.014,0.115,290.0,1.0
UBXN7,0.0,0.0,0.116,291.0,0.99988
SLC17A7,0.0,0.0,0.116,292.0,0.99988
NOTCH2,0.058619,0.031,0.116,293.0,1.0
SMARCC1,0.044984,0.019,0.116,294.0,1.0
RAI1,0.036788,0.014,0.116,295.0,1.0
CSE1L,0.037158,0.014,0.117,296.0,1.0
EIF4A1,0.0,0.0,0.117,297.0,0.99987
PIK3CA,0.045187,0.02,0.117,298.0,1.0
KIF5C,0.037254,0.014,0.117,299.0,1.0
REV3L,0.066905,0.039,0.117,300.0,1.0
AGPS,0.024715,0.008,0.117,301.0,1.0
ADAM10,0.0247,0.008,0.117,302.0,1.0
MED1,0.037292,0.014,0.117,303.0,1.0
SMARCC2,0.045283,0.02,0.117,304.0,1.0
MYRF,0.037076,0.014,0.117,305.0,1.0
DOT1L,0.045607,0.02,0.118,306.0,1.0
CHAF1A,0.02493,0.008,0.118,307.0,1.0
PSMD1,0.037612,0.014,0.118,308.0,1.0
SRRM2,0.062848,0.035,0.118,309.0,1.0
PIAS4,0.0,0.0,0.118,310.0,0.99986
ACTR3,0.0,0.0,0.118,311.0,0.99986
DDX3X,0.0,0.0,0.118,312.0,0.99986
TSC1,0.037521,0.014,0.118,313.0,1.0
SON,0.051624,0.024,0.118,314.0,1.0
WHSC1,0.045949,0.02,0.119,315.0,1.0
TCEB3,0.025027,0.008,0.119,316.0,1.0
STAG1,0.052126,0.025,0.119,317.0,1.0
ATRX,0.056501,0.029,0.119,318.0,1.0
VCPIP1,0.02505,0.008,0.119,319.0,1.0
EIF4A3,0.0,0.0,0.119,320.0,0.99985
MAU2,0.025133,0.008,0.119,321.0,1.0
PSMC2,0.0,0.0,0.119,322.0,0.99985
DAZAP1,0.0,0.0,0.119,323.0,0.99985
POGZ,0.045859,0.02,0.119,324.0,1.0
PRKAR1A,0.0,0.0,0.119,325.0,0.99985
SF3A3,0.025121,0.008,0.119,326.0,1.0
FXR1,0.025167,0.008,0.119,327.0,1.0
CDC42BPB,0.060953,0.032,0.12,328.0,1.0
XPO7,0.046473,0.02,0.12,329.0,1.0
RARB,0.0,0.0,0.12,330.0,0.99983
RERE,0.046333,0.02,0.12,331.0,1.0
ZMYND11,0.025252,0.008,0.12,332.0,1.0
RPL4,0.0,0.0,0.12,333.0,0.99984
SUPT16H,0.046458,0.02,0.12,334.0,1.0
ZBTB47,0.0,0.0,0.12,335.0,0.99983
PRRC2C,0.071353,0.043,0.121,336.0,1.0
PPFIA3,0.046834,0.02,0.121,337.0,1.0
ATP1A1,0.038449,0.015,0.121,338.0,1.0
KIF11,0.038378,0.015,0.121,339.0,1.0
NCOA2,0.046929,0.02,0.121,340.0,1.0
HIPK1,0.038558,0.015,0.121,341.0,1.0
KIAA0430,0.052813,0.025,0.121,342.0,1.0
ARMCX4,0.025809,0.008,0.122,343.0,1.0
KMT2C,0.082126,0.056,0.122,344.0,1.0
PIK3AP1,0.025645,0.008,0.122,345.0,1.0
SEMA4C,0.025727,0.008,0.122,346.0,1.0
CYTH1,0.0,0.0,0.122,347.0,0.99981
RBM17,0.0,0.0,0.122,348.0,0.99981
RTF1,0.025638,0.008,0.122,349.0,1.0
IPO5,0.047375,0.021,0.122,350.0,1.0
NUP98,0.057874,0.029,0.122,351.0,1.0
TRAF2,0.0,0.0,0.123,352.0,0.99979
EIF4B,0.025964,0.008,0.123,353.0,0.99999
ADNP,0.025868,0.008,0.123,354.0,1.0
RET,0.039068,0.015,0.123,355.0,1.0
TEAD1,0.0,0.0,0.123,356.0,0.9998
CCDC22,0.0,0.0,0.123,357.0,0.99979
SHANK3,0.039226,0.015,0.123,358.0,1.0
CACNA1E,0.068996,0.039,0.124,359.0,1.0
PRMT5,0.026112,0.008,0.124,360.0,0.99999
JADE3,0.0,0.0,0.124,361.0,0.99978
WDR5,0.0,0.0,0.124,362.0,0.99978
CUL4A,0.02609,0.008,0.124,363.0,0.99999
PCLO,0.080854,0.053,0.124,364.0,1.0
ZNF219,0.0,0.0,0.124,365.0,0.99977
GAPVD1,0.054558,0.026,0.125,366.0,1.0
EPC1,0.039853,0.015,0.125,367.0,1.0
KCNB1,0.0,0.0,0.125,368.0,0.99977
NLGN2,0.0,0.0,0.126,369.0,0.99974
PCDH19,0.0,0.0,0.126,370.0,0.99975
DDX17,0.026525,0.008,0.126,371.0,0.99999
RB1,0.048569,0.021,0.126,372.0,1.0
WNK1,0.067205,0.037,0.126,373.0,1.0
ZC3H18,0.039887,0.015,0.126,374.0,1.0
CDK12,0.048648,0.021,0.126,375.0,1.0
HECTD4,0.084692,0.057,0.127,376.0,1.0
RALGPS1,0.026813,0.009,0.127,377.0,0.99999
TNRC6C,0.055578,0.026,0.127,378.0,1.0
SCN2A,0.060487,0.031,0.127,379.0,1.0
SOBP,0.0,0.0,0.127,380.0,0.99972
VCP,0.026683,0.008,0.127,381.0,0.99999
TLN1,0.075712,0.046,0.128,382.0,1.0
BTAF1,0.068134,0.038,0.128,383.0,1.0
EPHA7,0.040592,0.016,0.128,384.0,1.0
COL4A1,0.065014,0.035,0.128,385.0,1.0
SIK3,0.049592,0.022,0.128,386.0,1.0
KAT6B,0.060836,0.031,0.128,387.0,1.0
KAT7,0.026879,0.009,0.128,388.0,0.99999
ZFR,0.04934,0.021,0.128,389.0,1.0
GSE1,0.040689,0.016,0.128,390.0,1.0
GSK3A,0.0,0.0,0.128,391.0,0.9997
L1CAM,0.040841,0.016,0.129,392.0,1.0
CTNNB1,0.02724,0.009,0.129,393.0,0.99999
PBRM1,0.061482,0.031,0.129,394.0,1.0
PRICKLE1,0.027138,0.009,0.129,395.0,0.99999
PUM1,0.049979,0.022,0.129,396.0,1.0
AHCTF1,0.071387,0.041,0.129,397.0,1.0
TNPO2,0.041138,0.016,0.129,398.0,1.0
AAK1,0.041108,0.016,0.129,399.0,1.0
RASA1,0.04992,0.022,0.129,400.0,1.0
CDC5L,0.040964,0.016,0.129,401.0,1.0
FERMT2,0.027446,0.009,0.13,402.0,0.99999
WTAP,0.0,0.0,0.13,403.0,0.99966
UBR3,0.066032,0.035,0.13,404.0,1.0
SCN8A,0.061954,0.031,0.13,405.0,1.0
FNIP2,0.041279,0.016,0.13,406.0,1.0
MSN,0.0,0.0,0.13,407.0,0.99967
PPP1R12A,0.050147,0.022,0.13,408.0,1.0
RANBP9,0.027369,0.009,0.13,409.0,0.99999
USP47,0.056706,0.027,0.13,410.0,1.0
CCDC88A,0.069474,0.039,0.13,411.0,1.0
MLLT3,0.0,0.0,0.131,412.0,0.99964
EIF3A,0.066251,0.035,0.131,413.0,1.0
YTHDC2,0.062394,0.032,0.131,414.0,1.0
KSR2,0.041703,0.016,0.131,415.0,1.0
ZMYND8,0.050672,0.022,0.131,416.0,1.0
CCNA2,0.0,0.0,0.132,417.0,0.99962
PTPN6,0.0279,0.009,0.132,418.0,0.99999
SCML2,0.0,0.0,0.132,419.0,0.99961
SNRK,0.0,0.0,0.132,420.0,0.99961
MINK1,0.062681,0.032,0.132,421.0,1.0
IRF6,0.0,0.0,0.132,422.0,0.99961
ZRSR2,0.0,0.0,0.132,423.0,0.99963
RFX7,0.041992,0.016,0.132,424.0,1.0
CSTF2,0.0,0.0,0.133,425.0,0.99959
NR4A2,0.0,0.0,0.133,426.0,0.99959
TULP4,0.051297,0.022,0.133,427.0,1.0
MAP1B,0.063238,0.032,0.133,428.0,1.0
USP42,0.04234,0.016,0.133,429.0,1.0
ZNF592,0.028117,0.009,0.133,430.0,0.99998
NPAS2,0.042405,0.016,0.133,431.0,1.0
ZSWIM8,0.063091,0.032,0.133,432.0,1.0
IQSEC2,0.028106,0.009,0.133,433.0,0.99998
U2AF2,0.0,0.0,0.133,434.0,0.9996
ITPR1,0.080881,0.05,0.134,435.0,1.0
COL2A1,0.067873,0.036,0.134,436.0,1.0
NPLOC4,0.028252,0.009,0.134,437.0,0.99998
MAPKAPK2,0.0,0.0,0.134,438.0,0.99957
DDX42,0.042617,0.016,0.134,439.0,1.0
CACNA1A,0.07669,0.045,0.134,440.0,1.0
SUZ12,0.028213,0.009,0.134,441.0,0.99998
PHF12,0.042754,0.016,0.135,442.0,1.0
DACH1,0.0,0.0,0.135,443.0,0.99954
PORCN,0.0,0.0,0.135,444.0,0.99953
CTR9,0.058954,0.028,0.135,445.0,1.0
RBM5,0.052212,0.023,0.135,446.0,1.0
NRBP1,0.028379,0.009,0.135,447.0,0.99998
TBX5,0.0,0.0,0.135,448.0,0.99954
FRMD4A,0.052425,0.023,0.135,449.0,1.0
PTPN11,0.028439,0.009,0.135,450.0,0.99998
DLGAP3,0.028591,0.009,0.136,451.0,0.99998
HIRA,0.052563,0.023,0.136,452.0,1.0
SETD1A,0.059487,0.028,0.136,453.0,1.0
NAA35,0.043359,0.017,0.136,454.0,1.0
ELMSAN1,0.043188,0.017,0.136,455.0,1.0
CACTIN,0.028772,0.009,0.136,456.0,0.99998
ARHGEF6,0.028593,0.009,0.136,457.0,0.99998
FAM120C,0.028743,0.009,0.136,458.0,0.99998
RBM6,0.059555,0.028,0.136,459.0,1.0
KIF1A,0.072632,0.04,0.136,460.0,1.0
MECOM,0.043346,0.017,0.136,461.0,1.0
MBD5,0.043103,0.017,0.136,462.0,1.0
MEIS1,0.0,0.0,0.136,463.0,0.99951
INTS6,0.04324,0.017,0.136,464.0,1.0
ZFHX3,0.080128,0.048,0.136,465.0,1.0
JPH4,0.0,0.0,0.137,466.0,0.99948
SMARCA1,0.043444,0.017,0.137,467.0,1.0
HEATR1,0.075658,0.043,0.137,468.0,1.0
BAI3,0.069944,0.037,0.138,469.0,1.0
SLC12A5,0.053293,0.023,0.138,470.0,1.0
TAF3,0.029185,0.009,0.138,471.0,0.99997
SHOC2,0.0,0.0,0.138,472.0,0.99946
PSMC1,0.0,0.0,0.138,473.0,0.99945
RBM22,0.0,0.0,0.138,474.0,0.99947
NFKB1,0.043865,0.017,0.138,475.0,1.0
AFF4,0.053282,0.023,0.138,476.0,1.0
RB1CC1,0.065412,0.033,0.138,477.0,1.0
SAFB,0.043902,0.017,0.138,478.0,1.0
TRAPPC8,0.065769,0.033,0.138,479.0,1.0
ARID4A,0.060714,0.029,0.139,480.0,1.0
TRIO,0.088725,0.058,0.139,481.0,1.0
YTHDF2,0.0,0.0,0.139,482.0,0.99943
PPFIA2,0.066311,0.034,0.139,483.0,1.0
KDM6B,0.061331,0.029,0.14,484.0,1.0
SPTB,0.080201,0.047,0.14,485.0,1.0
SOS1,0.066728,0.034,0.14,486.0,1.0
BAI1,0.06118,0.029,0.14,487.0,1.0
AMBRA1,0.054064,0.024,0.14,488.0,1.0
UBE2O,0.054284,0.024,0.14,489.0,1.0
ZNF292,0.074664,0.041,0.14,490.0,1.0
BCOR,0.044884,0.017,0.141,491.0,1.0
HDAC5,0.05466,0.024,0.141,492.0,1.0
PODXL2,0.0,0.0,0.141,493.0,0.99936
AFTPH,0.029678,0.01,0.141,494.0,0.99997
RANBP3,0.029665,0.01,0.141,495.0,0.99997
SPAG9,0.067581,0.034,0.142,496.0,1.0
FNBP4,0.055054,0.024,0.142,497.0,1.0
AGPAT3,0.0,0.0,0.142,498.0,0.99933
RANBP2,0.085586,0.053,0.142,499.0,1.0
TKTL1,0.0,0.0,0.142,500.0,0.99933
ZBTB44,0.0,0.0,0.142,501.0,0.99929
WHSC1L1,0.067444,0.034,0.142,502.0,1.0
CNOT4,0.03024,0.01,0.143,503.0,0.99996
JAG2,0.062561,0.03,0.143,504.0,1.0
TFCP2L1,0.030151,0.01,0.143,505.0,0.99996
MAOA,0.0,0.0,0.143,506.0,0.99928
SAMD4B,0.030155,0.01,0.143,507.0,0.99996
CSNK1E,0.0,0.0,0.143,508.0,0.99926
DNMT1,0.076163,0.042,0.143,509.0,1.0
PHEX,0.03008,0.01,0.143,510.0,0.99996
ATXN2L,0.05519,0.024,0.143,511.0,1.0
XPO4,0.062273,0.03,0.143,512.0,1.0
ARFGEF1,0.079167,0.045,0.143,513.0,1.0
COPS5,0.0,0.0,0.144,514.0,0.99925
